timestamp,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
2025-04-07 01:25:00,1611.26,1614.2,1608.47,1609.25,4104.4224,1743989399999,6615032.632789,15763.0,1892.1358,3049616.079379,0
2025-04-07 01:30:00,1609.24,1612.94,1605.27,1608.18,3034.5293,1743989699999,4882026.730539,15060.0,1630.5554,2623383.666177,0
2025-04-07 01:35:00,1608.18,1609.0,1594.44,1596.69,5483.2069,1743989999999,8780162.581285,15493.0,2003.7777,3208664.714023,0
2025-04-07 01:40:00,1596.7,1598.78,1590.0,1592.74,2734.3195,1743990299999,4358869.452735,15392.0,1398.4564,2229053.514931,0
2025-04-07 01:45:00,1592.73,1600.29,1588.0,1599.03,4402.6072,1743990599999,7024643.673174,15654.0,2578.3156,4114285.226544,0
2025-04-07 01:50:00,1599.02,1603.68,1597.22,1601.06,8234.9023,1743990899999,13176840.126865,14384.0,2289.3243,3665301.92704,0
2025-04-07 01:55:00,1601.06,1602.01,1597.79,1598.6,1944.8533,1743991199999,3111652.975661,9359.0,1084.5351,1735222.945177,0
2025-04-07 02:00:00,1598.59,1601.52,1593.23,1599.02,4186.9769,1743991499999,6684491.996901,12616.0,1313.5798,2097324.842718,0
2025-04-07 02:05:00,1599.02,1601.38,1594.77,1595.28,2527.933,1743991799999,4042341.270331,10570.0,1563.608,2501230.497765,0
2025-04-07 02:10:00,1595.29,1596.59,1591.45,1595.1,1671.6448,1743992099999,2665135.097377,8390.0,967.8796,1543142.603266,0
2025-04-07 02:15:00,1595.1,1598.51,1594.29,1597.9,2017.4351,1743992399999,3220684.397374,11433.0,1210.3403,1932213.572178,0
2025-04-07 02:20:00,1597.89,1599.34,1586.4,1588.44,2728.8642,1743992699999,4344986.489595,10404.0,1264.6781,2014316.278922,0
2025-04-07 02:25:00,1588.45,1589.25,1582.42,1585.45,2510.8099,1743992999999,3981461.195612,9903.0,1135.1614,1799890.272258,0
2025-04-07 02:30:00,1585.45,1588.61,1583.07,1586.35,2009.7527,1743993299999,3187524.852435,8735.0,940.0713,1491231.842193,0
